code_commune;nb_menages_fiscaux;nb_personnes;revenu_median_declare
01001;330;837;24760
01002;116;264;22910
01004;6886;15365;20050
01005;767;1941;23930
01006;NULL;NULL;NULL
01007;1193;2890;24140
01008;332;788;26420
01009;152;357;23910
01010;471;1113;24120
01011;157;404;24150
01012;145;325;20280
01013;72;137;20980
01014;1376;3524;20810
01015;303;711;22600
01016;183;490;21280
01017;194;417;20440
01019;NULL;NULL;NULL
01021;555;1410;25160
01022;573;1177;20310
01023;NULL;NULL;NULL
01024;1332;3273;22990
01025;1611;4197;23410
01026;427;904;21400
01027;723;1991;24550
01028;247;639;22300
01029;269;640;20290
01030;372;848;22220
01031;1558;3464;18780
01032;1199;3248;22020
01033;6705;15318;22710
01034;4137;8918;19160
01035;141;311;24660
01036;597;1325;23360
01037;126;287;21930
01038;326;782;23050
01039;207;487;23040
01040;194;508;21830
01041;334;765;23950
01042;126;316;25220
01043;1922;4975;28570
01044;267;597;27620
01045;99;282;28660
01046;346;866;22630
01047;475;1293;26400
01049;1264;3399;25360
01050;132;361;22300
01051;NULL;NULL;NULL
01052;129;316;26260
01053;18733;37121;18130
01054;578;1584;26440
01056;149;353;20120
01057;201;484;22420
01058;349;795;22450
01060;244;551;24020
01061;461;1183;24720
01062;374;975;29090
01063;249;599;24870
01064;471;1136;21680
01065;749;1863;26420
01066;NULL;NULL;NULL
01067;105;251;24710
01068;318;708;20520
01069;644;1529;25140
01071;1955;4900;43160
01072;1338;3082;24840
01073;462;1055;24530
01074;1072;2527;21890
01075;554;1467;23930
01076;83;145;20090
01077;93;184;22530
01078;571;1369;44480
01079;316;710;20770
01080;282;645;22310
01081;331;743;24960
01082;218;501;26800
01083;388;1010;24200
01084;336;904;21950
01085;142;376;24240
01087;125;291;25130
01088;369;971;28310
01089;873;2337;23870
01090;154;380;21070
01092;667;1678;25060
01093;2306;4734;22160
01094;309;742;21320
01095;340;776;21410
01096;400;1032;21730
01098;463;1169;20670
01099;661;1593;25890
01100;74;132;19750
01101;69;161;26870
01102;390;984;22710
01103;789;2040;43080
01104;188;430;26300
01105;712;1939;28410
01106;75;172;21030
01107;67;147;22510
01108;525;1111;21650
01109;842;2244;33440
01110;69;154;20240
01111;61;137;19220
01112;167;455;24090
01113;340;848;21630
01114;236;573;31900
01115;563;1398;22450
01116;222;512;22600
01117;61;152;21080
01118;449;1043;26410
01121;47;111;23610
01123;442;1164;24320
01124;313;705;22370
01125;270;627;23170
01127;225;503;22870
01128;131;291;21360
01129;120;307;24210
01130;898;2324;22920
01133;169;412;22700
01134;737;1845;23230
01135;786;2082;41620
01136;369;975;23890
01138;1289;2797;20160
01139;185;428;19140
01140;297;735;24090
01141;182;431;25380
01142;1857;4745;24820
01143;4142;9662;49940
01145;507;1188;21950
01146;164;443;23050
01147;215;508;19790
01148;798;1907;23060
01149;452;1106;27190
01150;92;229;23830
01151;507;1159;23940
01152;302;774;27460
01153;765;2098;51020
01155;67;145;21560
01156;328;893;25470
01157;959;2460;26670
01158;388;970;35720
01159;1495;3435;22680
01160;3919;8226;25720
01162;NULL;NULL;NULL
01163;838;1994;22710
01165;584;1647;24750
01166;996;2593;26070
01167;282;710;23390
01169;250;665;24570
01170;383;1079;23330
01362;298;848;27870
01363;791;1789;23210
01364;328;723;21570
01365;452;1111;23200
01366;416;1111;24390
01367;310;634;20660
01368;315;829;22350
01369;379;942;26820
01370;922;1547;18080
01371;478;1249;25210
01372;184;434;25000
01373;443;1045;24150
01374;798;1915;25250
01375;321;813;23820
01376;1686;4014;22450
01378;1093;2808;27450
01379;319;800;23020
01380;275;570;20860
01381;338;869;22890
01382;114;282;25560
01383;609;1479;21540
01384;972;2076;18170
01385;397;922;26650
01386;490;1148;26050
01387;89;254;21740
01388;470;972;19890
01389;795;1818;23420
01390;491;1200;23800
01391;149;322;23030
01392;263;672;25700
01393;209;557;23830
01396;447;950;20100
01397;376;952;41250
01398;556;1454;25630
01399;814;2073;43960
01400;60;126;20460
01401;797;2040;41300
01402;295;691;21790
01403;566;1304;21250
01404;73;136;23280
01405;496;1218;21440
01406;77;172;21760
01407;416;883;23060
01408;275;652;22090
01410;130;320;26020
01411;128;275;22730
01412;227;581;23850
01415;211;455;23020
01416;433;911;18720
01418;396;1146;30920
01419;2415;5867;37950
01420;806;1508;17980
01421;321;712;21960
01422;577;1358;25190
01423;421;1206;26650
01424;669;1773;30610
01425;122;292;24720
01426;1062;2525;23150
01427;2989;6983;22330
01428;45;125;24440
01429;279;713;22780
01430;267;611;22650
01431;546;1243;23680
01432;146;331;21970
01433;101;267;19060
01434;183;526;23770
01435;792;2054;39420
01436;200;460;43970
01437;90;214;20290
01439;NULL;NULL;NULL
01441;278;724;21890
01443;2129;4779;23460
01444;535;1228;21600
01445;247;636;22140
01446;595;1655;25430
01447;534;1249;21630
01448;147;347;31610
01449;295;794;24150
01450;1491;3868;25830
01451;2741;6604;24310
01452;485;1020;18910
01453;317;669;21770
01454;437;1114;22160
01456;NULL;NULL;NULL
01457;1314;3038;20340
02001;196;501;19560
02002;238;598;20850
02003;419;1016;21970
02004;81;182;17780
02005;153;407;23340
02006;112;258;21720
02007;44;110;21110
02008;118;312;19980
02009;194;526;20770
02010;64;161;20350
02011;490;1216;23340
02012;NULL;NULL;NULL
02013;152;372;22220
02014;292;728;22330
02015;NULL;NULL;NULL
02016;80;214;19210
02017;115;284;20300
02018;1097;2489;19230
02019;157;365;18850
02020;188;465;18360
02021;NULL;NULL;NULL
02022;174;424;21350
02023;47;107;19890
02024;NULL;NULL;NULL
02025;131;344;22730
02027;92;203;20070
02028;1103;2634;21590
02029;141;361;22830
02030;112;265;19550
02031;268;623;15700
02032;92;226;19050
02033;47;103;26570
02034;44;108;19690
02035;99;266;15890
02036;NULL;NULL;NULL
02037;550;1363;21170
02038;NULL;NULL;NULL
02039;57;151;19280
02040;68;176;16670
02041;349;835;22350
02042;159;373;23430
02043;NULL;NULL;NULL
02044;NULL;NULL;NULL
02046;237;553;21240
02047;49;116;22910
02048;55;138;21440
02049;308;747;22750
02050;128;302;19420
02051;171;394;25920
02052;58;136;20710
02053;246;574;26020
02054;175;457;21750
02055;NULL;NULL;NULL
02056;70;179;21220
02057;538;1241;17600
02058;327;824;18380
02059;1166;2580;15230
02060;107;257;21350
02061;87;256;18220
02062;54;139;24210
02063;156;395;20000
02064;1641;3559;18880
02065;235;554;19230
02066;86;197;21540
02067;85;207;22150
02068;NULL;NULL;NULL
02069;NULL;NULL;NULL
02070;182;436;20220
02071;260;641;22940
02072;76;179;25360
02073;257;672;21200
02074;231;582;20350
02075;78;196;21910
02076;57;165;24640
02077;157;388;23280
02078;62;165;19020
02079;61;127;17770
02080;144;321;26790
02081;165;434;22040
02082;47;116;21560
02083;299;762;22330
02084;100;264;23660
02085;354;1039;22750
02086;421;1000;21230
02087;NULL;NULL;NULL
02088;NULL;NULL;NULL
02089;502;1164;21150
02090;70;195;21830
02091;NULL;NULL;NULL
02093;529;1210;18120
02094;187;488;24700
02095;2366;5465;12720
02096;79;190;21410
02097;104;259;18230
02098;149;383;26700
02099;87;224;23320
02100;47;124;18810
02101;69;160;19940
02102;73;185;20970
02103;554;1208;18590
02104;NULL;NULL;NULL
02105;76;194;21370
02106;284;716;17760
02107;NULL;NULL;NULL
02108;63;146;23990
02109;198;464;20310
02110;909;2084;18660
02111;282;706;21230
02112;239;567;21010
02114;647;1519;21530
02115;89;202;20930
02116;63;143;18460
02117;NULL;NULL;NULL
02118;52;135;20420
02119;127;291;23210
02120;75;186;20840
02121;91;214;19170
02122;NULL;NULL;NULL
02123;128;291;22440
02124;275;643;20470
02125;65;186;22470
02126;191;434;15220
02127;79;193;19020
02128;682;1475;23240
02129;NULL;NULL;NULL
02130;77;192;17570
02131;771;1893;22930
02132;75;203;21440
02133;173;403;17770
02134;355;800;18890
02135;467;1083;16800
02136;53;132;19510
02137;47;132;20870
02138;76;187;24850
02139;184;469;22900
02140;171;420;18920
02141;755;1497;16750
02142;89;239;25600
02143;82;184;18220
02144;53;146;24380
02145;219;549;23220
02146;NULL;NULL;NULL
02148;104;240;21920
02149;NULL;NULL;NULL
02150;NULL;NULL;NULL
02151;50;102;28210
02152;NULL;NULL;NULL
02153;321;799;23460
02154;145;380;22010
02155;81;187;24040
02156;99;229;20470
02157;361;832;21730
02158;107;258;20010
02159;120;306;19280
02160;211;497;17430
02162;102;300;20260
02163;1085;2581;19650
02164;133;330;20520
02165;736;1661;19410
02166;168;389;23590
02167;328;888;21800
02168;6932;15172;17110
02169;NULL;NULL;NULL
02170;55;124;22750
02171;NULL;NULL;NULL
02172;93;244;21980
02173;5423;11250;16550
02174;306;812;20970
02175;61;159;18760
02176;76;213;19330
02177;55;139;24140
02178;44;109;22260
02179;156;377;21540
02180;290;752;21150
02181;NULL;NULL;NULL
02182;55;135;16430
02183;78;195;25180
02184;123;283;20010
02185;149;393;22130
02186;573;1271;23340
02187;513;1206;24290
02188;66;141;19720
02189;141;322;18710
02190;232;569;21340
02191;213;499;21610
02192;145;392;21700
02193;NULL;NULL;NULL
02194;84;199;19670
02195;337;898;22790
02196;137;308;23440
02197;207;512;22900
02198;93;234;22080
02199;235;607;20430
02200;44;103;15950
02201;141;361;22830
