code_commune;nb_menages_fiscaux;nb_personnes;revenu_median_disponible
01001;331;842;24820
01002;116;264;23220
01004;6882;15358;21070
01005;767;1939;24380
01006;NULL;NULL;NULL
01007;1192;2888;24330
01008;331;787;26120
01009;152;357;24410
01010;468;1106;24700
01011;157;404;24690
01012;145;325;22300
01013;72;137;22190
01014;1375;3523;21670
01015;302;710;22960
01016;183;490;22280
01017;194;417;20950
01019;NULL;NULL;NULL
01021;553;1404;25400
01022;571;1172;20990
01023;NULL;NULL;NULL
01024;1331;3272;23420
01025;1610;4195;23880
01026;426;903;22100
01027;724;1995;24870
01028;247;639;23400
01029;269;640;21260
01030;371;847;22780
01031;1556;3461;20180
01032;1199;3248;22610
01033;6686;15284;23140
01034;4134;8915;20550
01035;141;311;24930
01036;595;1321;23680
01037;126;287;21950
01038;326;782;23550
01039;207;487;23460
01040;194;508;23090
01041;334;765;24040
01042;126;316;24960
01043;1921;4971;28090
01044;266;596;26950
01045;100;283;28510
01046;346;866;23580
01047;476;1296;26330
01049;1263;3398;25560
01050;132;361;22750
01051;NULL;NULL;NULL
01052;129;316;26030
01053;18724;37098;19640
01054;577;1583;26020
01056;148;352;21220
01057;201;484;23350
01058;349;795;22990
01060;244;551;23850
01061;461;1183;24550
01062;372;970;28420
01063;249;599;24690
01064;471;1136;21930
01065;749;1863;26450
01066;NULL;NULL;NULL
01067;105;251;25060
01068;317;707;21360
01069;643;1524;25040
01071;1924;4821;39950
01072;1337;3079;25010
01073;462;1055;24710
01074;1072;2527;22690
01075;554;1467;24170
01076;83;145;20880
01077;92;182;22770
01078;558;1340;42350
01079;316;713;22020
01080;282;645;22490
01081;330;742;25300
01082;217;498;25710
01083;388;1010;24310
01084;335;902;23060
01085;142;376;24560
01087;125;291;24720
01088;368;969;27430
01089;873;2337;24490
01090;153;379;21710
01092;667;1678;25120
01093;2303;4729;22690
01094;309;742;22100
01095;340;776;22050
01096;400;1032;22570
01098;462;1165;21600
01099;660;1592;25480
01100;74;132;20380
